81
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.39 Mb/s', 'avg_lat 721.66 us', 'max_lat 1189.97 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 41.33 Mb/s', 'avg_lat 41.69 us', 'max_lat 2454.85 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.69 Mb/s', 'avg_lat 198.25 us', 'max_lat 1199.25 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.27 Mb/s', 'avg_lat 759.89 us', 'max_lat 1176.58 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 245.56 Mb/s', 'avg_lat 7.02 us', 'max_lat 540.92 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 60.27 Mb/s', 'avg_lat 28.59 us', 'max_lat 1162.07 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 2.11 Mb/s', 'avg_lat 818.31 us', 'max_lat 1454.12 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 330.54 Mb/s', 'avg_lat 5.21 us', 'max_lat 395.49 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 255.07 Mb/s', 'avg_lat 6.75 us', 'max_lat 1126.71 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.16 Mb/s', 'avg_lat 798.72 us', 'max_lat 1341.23 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 39.90 Mb/s', 'avg_lat 43.18 us', 'max_lat 2095.36 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.10 Mb/s', 'avg_lat 212.82 us', 'max_lat 1260.99 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.07 Mb/s', 'avg_lat 831.19 us', 'max_lat 1279.21 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 195.66 Mb/s', 'avg_lat 8.81 us', 'max_lat 413.26 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 54.52 Mb/s', 'avg_lat 31.60 us', 'max_lat 1390.21 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.93 Mb/s', 'avg_lat 890.58 us', 'max_lat 1859.34 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 234.56 Mb/s', 'avg_lat 7.35 us', 'max_lat 213.81 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 189.67 Mb/s', 'avg_lat 9.08 us', 'max_lat 1060.36 us']
