81
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.46 Mb/s', 'avg_lat 3746.35 us', 'max_lat 4515.58 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 37.75 Mb/s', 'avg_lat 45.64 us', 'max_lat 1772.29 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 11.35 Mb/s', 'avg_lat 151.83 us', 'max_lat 4529.71 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.44 Mb/s', 'avg_lat 3930.38 us', 'max_lat 4522.71 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 45.90 Mb/s', 'avg_lat 37.54 us', 'max_lat 821.00 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 38.97 Mb/s', 'avg_lat 44.21 us', 'max_lat 4395.25 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.42 Mb/s', 'avg_lat 4103.33 us', 'max_lat 5409.33 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.27 Mb/s', 'avg_lat 208.41 us', 'max_lat 9294.67 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.58 Mb/s', 'avg_lat 1092.81 us', 'max_lat 5692.21 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.40 Mb/s', 'avg_lat 4300.20 us', 'max_lat 5457.33 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 30.28 Mb/s', 'avg_lat 56.91 us', 'max_lat 1894.25 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.72 Mb/s', 'avg_lat 177.29 us', 'max_lat 5591.08 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.38 Mb/s', 'avg_lat 4550.51 us', 'max_lat 6369.46 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 36.19 Mb/s', 'avg_lat 47.61 us', 'max_lat 930.54 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 28.28 Mb/s', 'avg_lat 60.94 us', 'max_lat 5236.42 us']
