['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.72 Mb/s', 'avg_lat 177.31 us', 'max_lat 1346.30 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.48 Mb/s', 'avg_lat 694.22 us', 'max_lat 1877.46 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 264.65 Mb/s', 'avg_lat 6.51 us', 'max_lat 364.63 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 66.63 Mb/s', 'avg_lat 25.86 us', 'max_lat 882.87 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 2.29 Mb/s', 'avg_lat 753.82 us', 'max_lat 1753.61 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 345.24 Mb/s', 'avg_lat 4.99 us', 'max_lat 369.17 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 276.38 Mb/s', 'avg_lat 6.23 us', 'max_lat 872.50 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.24 Mb/s', 'avg_lat 767.73 us', 'max_lat 1530.41 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 39.48 Mb/s', 'avg_lat 43.64 us', 'max_lat 2959.53 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.28 Mb/s', 'avg_lat 208.02 us', 'max_lat 894.19 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.12 Mb/s', 'avg_lat 812.55 us', 'max_lat 1598.85 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 208.57 Mb/s', 'avg_lat 8.26 us', 'max_lat 418.50 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 55.48 Mb/s', 'avg_lat 31.06 us', 'max_lat 943.58 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 2.03 Mb/s', 'avg_lat 848.91 us', 'max_lat 1183.66 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 263.31 Mb/s', 'avg_lat 6.54 us', 'max_lat 207.22 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 211.19 Mb/s', 'avg_lat 8.16 us', 'max_lat 951.25 us']
