81
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.51 Mb/s', 'avg_lat 490.48 us', 'max_lat 15452.80 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.12 Mb/s', 'avg_lat 14199.19 us', 'max_lat 15846.55 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 18.67 Mb/s', 'avg_lat 92.30 us', 'max_lat 2880.24 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 13.93 Mb/s', 'avg_lat 123.70 us', 'max_lat 14783.00 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.14 Mb/s', 'avg_lat 12195.97 us', 'max_lat 13669.96 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.67 Mb/s', 'avg_lat 646.27 us', 'max_lat 25309.70 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.56 Mb/s', 'avg_lat 3077.59 us', 'max_lat 13787.67 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.14 Mb/s', 'avg_lat 12677.68 us', 'max_lat 14364.24 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 11.35 Mb/s', 'avg_lat 151.84 us', 'max_lat 5730.80 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.62 Mb/s', 'avg_lat 476.27 us', 'max_lat 14551.23 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.13 Mb/s', 'avg_lat 13249.20 us', 'max_lat 16458.54 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 13.83 Mb/s', 'avg_lat 124.60 us', 'max_lat 2723.99 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 11.23 Mb/s', 'avg_lat 153.45 us', 'max_lat 13827.26 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.12 Mb/s', 'avg_lat 14742.18 us', 'max_lat 16413.23 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.24 Mb/s', 'avg_lat 767.96 us', 'max_lat 31142.58 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.46 Mb/s', 'avg_lat 3774.50 us', 'max_lat 16378.33 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.11 Mb/s', 'avg_lat 15283.66 us', 'max_lat 16832.50 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 8.34 Mb/s', 'avg_lat 206.51 us', 'max_lat 6584.98 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.00 Mb/s', 'avg_lat 574.48 us', 'max_lat 16792.40 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.11 Mb/s', 'avg_lat 15924.73 us', 'max_lat 17348.14 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 9.63 Mb/s', 'avg_lat 178.89 us', 'max_lat 3120.87 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.03 Mb/s', 'avg_lat 214.59 us', 'max_lat 16492.92 us']
